epoch,accuracy,loss,val_accuracy,val_loss
0,0.6396346688270569,0.9992119073867798,0.6455331444740295,0.9537515044212341
1,0.7794076800346375,0.6068674325942993,0.6916426420211792,0.798839271068573
2,0.8444505929946899,0.42862382531166077,0.6916426420211792,0.8179562091827393
3,0.870744526386261,0.35120925307273865,0.6974063515663147,0.8097202777862549
4,0.8937171101570129,0.2876277565956116,0.6743515729904175,0.855891764163971
5,0.9191807508468628,0.23911595344543457,0.6772334575653076,0.884629487991333
6,0.9299750924110413,0.20752134919166565,0.6599423885345459,0.9477958679199219
7,0.945751428604126,0.17110025882720947,0.6657060384750366,1.030823826789856
8,0.9568225741386414,0.14776623249053955,0.6657060384750366,1.0961966514587402
9,0.9623581767082214,0.13283218443393707,0.6657060384750366,1.1001720428466797
10,0.9654027223587036,0.11743758618831635,0.6743515729904175,1.1509119272232056
11,0.9662330746650696,0.10943570733070374,0.6887608170509338,1.1794850826263428
12,0.9681705236434937,0.10350678861141205,0.6743515729904175,1.2316168546676636
13,0.973429262638092,0.0953502431511879,0.6570605039596558,1.3016533851623535
14,0.971491813659668,0.09078341722488403,0.6570605039596558,1.365301251411438
15,0.974259614944458,0.08280261605978012,0.6657060384750366,1.3173460960388184
16,0.9745364189147949,0.08435545116662979,0.6772334575653076,1.365593433380127
17,0.9745364189147949,0.07371599227190018,0.6743515729904175,1.383593201637268
18,0.975643515586853,0.07346977293491364,0.6570605039596558,1.4276573657989502
19,0.9773041605949402,0.07083259522914886,0.6685879230499268,1.4614118337631226
20,0.9781345129013062,0.06767759472131729,0.6714697480201721,1.5008043050765991
21,0.9773041605949402,0.06293162703514099,0.6657060384750366,1.5324188470840454
22,0.977027416229248,0.06598742306232452,0.6657060384750366,1.525334119796753
23,0.9786880612373352,0.060760755091905594,0.6685879230499268,1.5472652912139893
24,0.9775809645652771,0.05904395878314972,0.6628242135047913,1.603086233139038
